card_company,card_name,event,promotions,fee,perform,brand,fee_in,fee_out
BC바로카드,BC 바로 에어 플러스 스카이패스,신규회원 연회비 100% 캐시백!,1천원당 1마일리지적립 && 1백만원당 200마일리지적립,국내전용 19000원  해외겸용 19000원,전월실적없음,BC mastercard,19000,19000
BC바로카드,K-FIRST (모바일전용),,전 가맹점 1%할인 && 대중교통/편의점/커피 0.5%추가할인 && 페이북 쇼핑 5%할인,해외겸용 5000원,전월실적없음,VISA UnionPay,5000,5000
BC바로카드,kt SUPER 카드,,"KT통신요금 최대 18,000원할인 && SK 주유소 1%할인",국내전용 25000원  해외겸용 27000원,전월실적30만원 이상,VISA BC,25000,27000
BC바로카드,알뜰교통플러스,,대중교통 15%할인 && OTT/스트리밍 15%할인 && 이동통신요금 5%할인,국내전용 6000원  해외겸용 7000원,전월실적30만원 이상,VISA,6000,7000
BC바로카드,BC 바로 에어 플러스 아시아나,,1천원당 1.3마일리지기본적립 && 1백만원당 300마일리지추가적립,국내전용 19000원  해외겸용 19000원,전월실적없음,BC mastercard,19000,19000
BC바로카드,GOAT BC 바로카드,,국내 가맹점 최대 1.5%적립 && 국외 가맹점 최대 3%적립 && 연간사용액 3천만원 이상 시 10%추가 적립,국내전용 12000원  해외겸용 12000원,전월실적없음,VISA mastercard,12000,12000
IBK기업은행,마일앤조이카드(대한항공),,"1,500원당 3~1마일적립 && KTX, SRT  10%할인 && 공항라운지 연 2회무료",해외겸용 30000원,전월실적없음,UnionPay,30000,30000
IBK기업은행,BLISS.7 카드(마일리지),,"1,500원당 1마일적립 && 1,500원당 최대 2마일특별적립 && 바우처 20만원상당제공",해외겸용 200000원,전월실적없음,VISA,200000,200000
IBK기업은행,ONE AIR(UniMile),,"1,500원당 10~30마일적립 && 공항라운지 연 2회무료 && 스타벅스 2천원할인",국내전용 10000원  국내외겸용 10000원,전월실적30만원 이상,UnionPay,10000,10000
IBK기업은행,일상의 기쁨카드(신용),카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,"대중교통 200원할인 && 영화 10,000원할인 && 커피전문점 20%할인",해외겸용 10000원,전월실적50만원 이상,VISA UnionPay,10000,10000
IBK기업은행,마일앤조이카드(아시아나),,"1,000원당 3~1마일적립 && KTX, SRT 10%할인 && 공항라운지 연 2회무료",해외겸용 30000원,전월실적없음,UnionPay,30000,30000
IBK기업은행,Oil & Life카드(Oil카드),카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,"GS칼텍스(LPG포함) 120원/L할인 && CGV, 롯데시네마 2,000원현장할인 && 주요 놀이공원 50%할인",해외겸용 5000원,전월실적30만원 이상,mastercard UnionPay,5000,5000
IBK기업은행,IBK 무직타이거 카드(신용),,"버스,지하철 건당 200원할인 && 주유소/충전소 60원/L할인 && 온라인쇼핑 20%할인",국내전용 10000원  해외겸용 12000원,전월실적50만원 이상,BC mastercard,10000,12000
IBK기업은행,BLISS.5 카드(마일리지),,"1,500원당 1마일적립 && 바우처 최대 10만원제공 && 영화 2천원할인",해외겸용 95000원,전월실적30만원 이상,VISA BC Global,95000,95000
IBK기업은행,BLISS.7 카드(포인트),,"1,500원당 15P적립 && 1,500원당 최대 20P특별적립 && 바우처 20만원상당제공",해외겸용 190000원,전월실적없음,VISA BC Global,190000,190000
IBK기업은행,IBK-Hybrid(하이브리드)카드,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,전월실적 관계없이 신용 0.6%캐시백 && 국내외 가맹점 체크 0.3%캐시백 && 하이브리드 서비스 체크+신용결제서비스,해외겸용 10000원,전월실적없음,mastercard UnionPay,10000,10000
IBK기업은행,Daily With(데일리위드)카드,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,6대생활영역 1%기본캐시백 && 최다이용영역 1%추가캐시백,국내전용 10000원  해외겸용 12000원,전월실적50만원 이상,BC mastercard UnionPay,10000,12000
IBK기업은행,I-알뜰교통플러스 카드(신용),,대중교통 최대 300원할인 && 주유 40원/L할인 && 통신 3%할인,국내전용 2000원  해외겸용 4000원,전월실적20만원 이상,mastercard,2000,4000
IBK기업은행,I-어디로든 그린카드,,전기차·수소차 충전 최대 40%적립 && 공유 모빌리티 10%적립 && 대중교통·고속버스 10%적립,국내전용 15000원,전월실적30만원 이상,BC,15000,0
IBK기업은행,K-22(Mileage),카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,"1,500원 당 최대 2마일리지적립 && 바우처 15만원 상당제공 && 공항라운지 연 4회무료",국내전용 219000원  해외겸용 220000원,전월실적50만원 이상,BC mastercard,219000,220000
IBK기업은행,IBK무민카드(신용),카드고릴라 프로모션! 10만원 캐시백,"주요 커피전문점 20%할인 && 쿠팡, 티몬, 위메프 20%할인 && 편의점 10%할인",국내전용 10000원  해외겸용 10000원,전월실적50만원 이상,BC mastercard UnionPay,10000,10000
KB국민카드,톡톡D 카드,,배달앱 50%할인 && 온라인 간편결제 10%할인 && 편의점 5%할인,국내전용 12000원  해외겸용 12000원,전월실적30만원 이상,mastercard AMEX,12000,12000
KB국민카드,톡톡O 카드,,OTT플랫폼 100%할인 && 온라인 간편결제 10%할인 && 편의점 5%할인,국내전용 12000원  해외겸용 12000원,전월실적30만원 이상,mastercard AMEX,12000,12000
KB국민카드,다담카드,,교통/통신 10%할인 && 주유소/충전소 60원/L할인 && 생활/교육/쇼핑 등 적립팩선택,국내전용 15000원  해외겸용 20000원,전월실적30만원 이상,VISA mastercard,15000,20000
KB국민카드,Easy all 티타늄카드,,20개 영역 중 선택형할인 && 택시 10%할인 && 온라인쇼핑 5%할인,국내전용 30000원  해외겸용 30000원,전월실적50만원 이상,VISA UnionPay,30000,30000
KB국민카드,FINETECH카드(대한항공),,국내이용 1.2마일적립 && 해외이용 2마일적립 && 게임/커피/영화 3마일적립,국내전용 20000원  해외겸용 25000원,전월실적없음,mastercard,20000,25000
KB국민카드,BeV V카드(포인트형),,포인트리 1.2~3.0%적립 && 프리미엄쿠폰 연 1회제공 && 해외 공항라운지 무료이용서비스,국내전용 295000원  해외겸용 300000원,전월실적50만원 이상,mastercard,295000,300000
KB국민카드,청춘대로 톡톡카드,,스타벅스 50%할인 && 버거/패스트푸드 20%할인 && 간편결제Pay 10%할인,국내전용 10000원  해외겸용 12000원,전월실적30만원 이상,mastercard JCB,10000,12000
KB국민카드,BeV V카드(스카이패스형),,대한항공마일리지 1.2~3마일적립 && 프리미엄쿠폰 연 1회제공 && 해외 공항라운지 무료이용서비스,국내전용 295000원  해외겸용 300000원,전월실적50만원 이상,mastercard,295000,300000
KB국민카드,톡톡M 카드,,멤버십 구독 서비스 100%할인 && 온라인 간편결제 10%할인 && 편의점 5%할인,국내전용 12000원  해외겸용 12000원,전월실적30만원 이상,mastercard AMEX,12000,12000
KB국민카드,KB국민 My WE:SH 카드,KB국민카드 최대 6만원 캐시백,KB Pay 10%할인 && 음식점 10%할인 && 서비스팩 3개 중 1개선택할인,국내전용 15000원  해외겸용 15000원,전월실적40만원 이상,mastercard AMEX,15000,15000
KB국민카드,굿데이올림카드,,주유 60원/L할인 && 통신요금 10%할인 && 대형마트 10%할인,국내전용 15000원  해외겸용 20000원,전월실적30만원 이상,VISA mastercard AMEX,15000,20000
KB국민카드,알뜰교통플러스 카드,,대중교통 10%할인 && 생활서비스 5%할인 && KB Pay 이용 시 5%추가할인,국내전용 8000원  해외겸용 8000원,전월실적30만원 이상,VISA,8000,8000
KB국민카드,탄탄대로 온리유카드,,모든주유소 110~150점/L적립 && 자동차보험 1만원할인 && 차량정비 5%적립,국내전용 15000원  해외겸용 15000원,전월실적40만원 이상,mastercard,15000,15000
KB국민카드,톡톡 my point카드,,"국내가맹점 0.5%적립 && KB Pay 5%적립 && 연간 리워드 12,000점적립",국내전용 12000원  해외겸용 12000원,전월실적없음,mastercard,12000,12000
KB국민카드,American Express Rose Gold KB Kookmin Card,,"온라인 쇼핑 10%할인 (KB Pay) && 커피, 편의점 10%할인 (KB Pay) && 오프라인 쇼핑, 온라인 항공/면세점 5%할인 (KB Pay)",해외겸용 19000원,전월실적30만원 이상,AMEX,19000,19000
NH농협카드,올바른 FLEX 카드,최대 8만원 혜택 이벤트,커피 50%할인 && 스트리밍 20%할인 && 영화 30%할인,국내전용 10000원  해외겸용 12000원,전월실적30만원 이상,VISA,10000,12000
NH농협카드,NH올원 파이카드,,온라인쇼핑 7~20%할인 && 주유/통신/해외 등 선택업종할인 && 생활영역 5~20%할인,국내전용10000원  해외겸용 12000원,전월실적30만원 이상,mastercard JCB,10000,12000
NH농협카드,올바른 NEW HAVE카드,,국내외가맹점 0.7%적립 && 이용금액 1위 3배적립 && 공항라운지 무료이용,국내전용 12000원  해외겸용 12000원,전월실적없음,mastercard,12000,12000
NH농협카드,NH올원 Shopping&11번가카드(R2타입),,11번가 11~22%할인 && 기타 온라인쇼핑 7%할인 && 마트/병원/주유 등 5~10%할인,국내전용 8000원  해외겸용 10000원,전월실적30만원 이상,mastercard,8000,10000
NH농협카드,별다줄카드,,쇼핑 최대 14%할인 && 통신 5%할인 && 커피 5%할인,국내전용 12000원  해외겸용 14000원,전월실적30만원 이상,VISA,12000,14000
NH농협카드,NH올원 All100(올백)카드,,백화점 10%적립 && 대형마트 10%적립 && 병원/약국/동물병원 10%적립,국내전용 8000원  해외겸용 8000원,전월실적30만원 이상,mastercard JCB,8000,8000
NH농협카드,zgm.the pay카드,,국내 전 가맹점 1.0%청구 할인 && 해외 전 가맹점 1.0%청구 할인 && 온라인 간편결제 최대 1.7%청구 할인,국내전용 12000원  해외겸용 12000원,전월실적없음,mastercard,12000,12000
NH농협카드,NH20 해봄카드,,인천공항라운지 연 2회무료 && 전국 놀이공원 50%할인 && 온라인 쇼핑몰 10%할인,해외겸용 8000원,전월실적30만원 이상,mastercard JCB,8000,8000
NH농협카드,올바른 POINT UP 카드,,기본 0.7%적립 && 최대  1.0%추가적립 && 국제공항 라운지무료이용,해외겸용 12000원,전월실적40만원 이상,VISA mastercard JCB,12000,12000
NH농협카드,올바른 MYPICK 카드,,전세계음식점(푸드팩) 5%할인 && 쇼핑(쇼핑팩) 5%할인 && 주유소/충전소(트레블팩) 5%할인,국내전용 13000원  해외겸용 13000원,전월실적40만원 이상,VISA UnionPay,13000,13000
NH농협카드,zgm.휴가중카드,,"해외가맹점 최대 5%적립 && 여행 20%할인 && 항공권, 면세점 0.5%추가적립",국내전용 25000원  해외겸용 25000원,전월실적없음,mastercard,25000,25000
NH농협카드,zgm.고향으로카드,,NH포인트(지역) 최대 1.7%적립 && NH포인트(평일) 0.7%적립 && NH포인트(주말) 1.0%적립,국내전용 12000원  해외겸용 12000원,전월실적없음,mastercard,12000,12000
NH농협카드,NH올원 LGU+카드,,"LGU+ ~17,000원할인 && 커피/베이커리 10%할인 && 놀이공원 30~50%할인",해외겸용 15000원,전월실적30만원 이상,mastercard JCB,15000,15000
롯데카드,LOCA 365 카드,,"아파트관리비, 공과금 10%할인 && 교통, 통신, 배달앱 10%할인 && 스트리밍 1,500원할인",국내전용 20000원  해외겸용 20000원,전월실적50만원 이상,mastercard AMEX,20000,20000
롯데카드,LOCA LIKIT,,스타벅스 최대 60%할인 && 영화 50%할인 && 이동통신 10%할인,국내전용 10000원  해외겸용 10000원,전월실적40만원 이상,mastercard,10000,10000
롯데카드,LOCA LIKIT 1.2,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,모든가맹점 1.2%할인 && 온라인 1.5%할인,국내전용 10000원  해외겸용 10000원,전월실적없음,mastercard AMEX,10000,10000
롯데카드,LOCA LIKIT Eat,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,음식점 60%할인 && 배달앱 60%할인 && 커피 60%할인,국내전용 10000원  해외겸용 10000원,전월실적40만원 이상,mastercard AMEX,10000,10000
롯데카드,LOCA LIKIT Shop,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,온라인쇼핑 60%할인 && 미용실 60%할인 && 편의점 60%할인,국내전용 10000원  해외겸용 10000원,전월실적40만원 이상,mastercard AMEX,10000,10000
롯데카드,롯데백화점 롯데카드,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,롯데백화점 15%할인 && 롯데백화점 5%e-쿠폰 && 롯데백화점 12개월할부서비스,국내전용 10000원  해외겸용 15000원,전월실적30만원 이상,VISA mastercard,10000,15000
롯데카드,롯데백화점 FLEX카드,,국내외가맹점 0.5%적립 && 스트리밍 30%할인 && 커피 50%할인,국내전용 100000원  해외겸용 100000원,전월실적50만원 이상,mastercard,100000,100000
롯데카드,SKYPASS 롯데 아멕스카드,,"1,000원당 국내 1마일적립 && 1,000원당 해외 2마일적립 && SKYPASS 회원 할인서비스",해외겸용 20000원,전월실적없음,AMEX,20000,20000
롯데카드,LOCA LIKIT Play,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백,주유소 60%할인 && 영화 60%할인 && 구독서비스 60%할인,국내전용 10000원  해외겸용 10000원,전월실적40만원 이상,mastercard AMEX,10000,10000
롯데카드,쿠팡 롯데카드,,쿠팡 15%할인 && 외식업종 10%할인 && 롯데월드 50%할인,국내전용 5000원  해외겸용 10000원,전월실적20만원 이상,VISA UnionPay,5000,10000
롯데카드,아멕스 플래티넘 아시아나클럽 롯데카드,,아시아나마일리지 1천원당 1마일적립 && 공항라운지 무료이용서비스,국내전용 55000원  해외겸용 55000원,전월실적50만원 이상,AMEX,55000,55000
롯데카드,I’m YOLO 플래티넘,,"1,000원당 1마일적립 && 특별가맹점 1마일추가적립 && 공항라운지 무료이용",국내전용 48000원  해외겸용 50000원,전월실적50만원 이상,mastercard,48000,50000
롯데카드,LOCA Mobility 반띵 카드,,대중교통 50%할인 && 로카모빌리티카드 무료제공 && 카페/미용실/쇼핑/스트리밍 50%할인,국내전용 17000원  해외겸용 17000원,전월실적40만원 이상,mastercard AMEX,17000,17000
롯데카드,디지로카 London,최대 11만원 캐시백 지급 이벤트,국내·해외 최대 0.7%할인 && 즉시결제 최대 1%할인 && 추가수수료없이 나누어납부,국내전용 20000원  해외겸용 20000원,전월실적없음,mastercard AMEX,20000,20000
롯데카드,디지로카 Paris,최대 11만원 캐시백 지급 이벤트,국내·해외 0.7%할인 && 온라인 쇼핑 최대 5%할인,국내전용 20000원  해외겸용 20000원,전월실적없음,mastercard AMEX,20000,20000
삼성카드,삼성카드 taptap O,최대 8만원 캐시백,"스타벅스 50%할인 && 대중교통 10%할인 && CGV, 롯데시네마 5,000원할인",국내전용 10000원  해외겸용 10000원,전월실적30만원 이상,mastercard,10000,10000
삼성카드,삼성카드 & MILEAGE PLATINUM (스카이패스),온라인 신규회원 연회비 100% 캐시백,"1,000원당 1마일기본적립 && 커피/주유 2마일특별적립 && 인천공항 라운지무료이용",국내전용 47000원  해외겸용 49000원,전월실적없음,AMEX,47000,49000
삼성카드,taptap DIGITAL,최대 8만원 캐시백,온라인간편결제 5%할인 && 스트리밍 50%할인 && 편의점 10%할인,국내전용 10000원  해외겸용 10000원,전월실적30만원 이상,mastercard,10000,10000
삼성카드,삼성 iD ON 카드,최대 8만원 캐시백,많이쓰는 영역 자동맞춤 30%할인 && 교통/이동통신/스트리밍 10%할인 && 온라인간편결제/해외 3%·1%할인,국내전용 20000원  해외겸용 20000원,전월실적30만원 이상,mastercard,20000,20000
삼성카드,삼성 iD SIMPLE 카드,온라인 신규회원 연회비 100% 캐시백,"국내 외 가맹점 0.7%·1%할인 && 온라인쇼핑몰 멤버십 50%할인 && 영화 3,000원할인",국내전용 7000원  해외겸용 7000원,전월실적없음,mastercard UnionPay,7000,7000
삼성카드,신세계이마트 삼성카드7,,"신세계백화점 5%할인 && 이마트 6,000원할인 && 국내가맹점 0.5~3%적립",국내전용 18000원  해외겸용 20000원,전월실적30만원 이상,mastercard,18000,20000
삼성카드,트레이더스신세계 삼성카드,,트레이더스 1~5%할인 && 학원/서점/병원 5%할인 && SKT/스타벅스 5%할인,국내전용 15000원  해외겸용 15000원,전월실적40만원 이상,mastercard,15000,15000
삼성카드,네이버페이 taptap,,네이버페이 10%적립 && 커피전문점 5%적립 && 전가맹점 0.5%적립,국내전용 15000원  해외겸용 15000원,전월실적30만원 이상,mastercard,15000,15000
삼성카드,국민행복 삼성카드 V2,,쇼핑 7%할인 && 보육 7%할인 && 생활요금 7%할인,국내전용 없음  해외겸용 없음,전월실적없음,mastercard,0,0
삼성카드,THE iD. PLATINUM(포인트),프리미엄 카드 온라인 신규 발급 고객에게 드리는 캐시백 혜택!,기프트 서비스 15만원 상당제공 && 국내 가맹점 1%빅포인트 적립 && 특별 가맹점 1.5%빅포인트 적립,국내전용 215000원  해외겸용 220000원,전월실적50만원 이상,mastercard,215000,220000
삼성카드,삼성 iD NOMAD 카드,,기프트서비스 영역별 연 1회제공 && 국내외가맹점 최대 2%적립 && 디지털콘텐츠/멤버십 50%할인,국내전용 47000원  해외겸용 49000원,전월실적50만원 이상,mastercard,47000,49000
삼성카드,THE iD. TITANIUM(포인트),프리미엄 카드 온라인 신규 발급 고객에게 드리는 캐시백 혜택!,기프트 서비스 매년 2가지제공 && 국내 가맹점 1.2%빅포인트 적립 && 특별 가맹점 1.5%빅포인트 적립,국내전용 695000원  해외겸용 700000원,전월실적50만원 이상,VISA,695000,700000
삼성카드,삼성 iD VITA 카드,온라인 신규회원 연회비 100% 캐시백,의료 20%할인 && 보험 10%할인 && 헬스/뷰티 20%할인,국내전용 20000원  해외겸용 20000원,전월실적50만원 이상,mastercard UnionPay,20000,20000
삼성카드,삼성 iD EV 카드,,전기차 충전요금 50%·70%할인 && 주차장·하이패스·대리운전 10%할인 && 자동차보험 3만원할인,국내전용 15000원  해외겸용 15000원,전월실적30만원 이상,mastercard,15000,15000
삼성카드,삼성 iD ALL 카드,온라인 신규회원 연회비 100% 캐시백,많이 쓰는 영역 자동 맞춤 5%할인 && 주유/이동통신/아파트관리비 2.5%할인 && 국내외가맹점 0.5%할인,국내전용 20000원  해외겸용 20000원,전월실적40만원 이상,VISA mastercard,20000,20000
신한카드,신한카드 Mr.Life,신한카드 이용하고 최대 10만원 캐시백 받아가자!,"공과금 10%할인 && 마트,편의점 10%할인 && 식음료 10%할인",해외겸용 15000원,전월실적30만원 이상,VISA,15000,15000
신한카드,신한카드 Deep Dream,신한카드 이용하고 최대 10만원 캐시백 받아가자!,모두드림 0.7%적립 && 더해드림 2.1%적립 && 챙겨드림 3.5%적립,해외겸용 8000원,전월실적없음,VISA UnionPay,8000,8000
신한카드,신한카드 Deep Oil,신한카드 이용하고 최대 10만원 캐시백 받아가자!,4개정유사 10%할인 && 차량서비스 10%할인 && 편의점/커피/택시 5%할인,해외겸용 10000원,전월실적30만원 이상,mastercard,10000,10000
신한카드,신한카드 Deep Dream(모베러웍스),,모두드림 0.7%적립 && 더해드림 2.1%적립 && 챙겨드림 3.5%적립,해외겸용 10000원,전월실적없음,VISA,10000,10000
신한카드,신한카드 Deep Dream Platinum+,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백!,모두드림 최대 1.1%적립 && 더해드림 최대 3.3%적립 && 챙겨드림 최대 5.5%적립,해외겸용 30000원,전월실적없음,VISA UnionPay,30000,30000
신한카드,신한카드 The BEST-F,,"캐시백형 1%캐시백 && 대한항공형 1,500원/1마일적립 && 기프트옵션 1회/연제공",해외겸용 202000원,전월실적없음,VISA,202000,202000
신한카드,신한카드 Hi-Point,,전국가맹점 0.2~2.0%적립 && 특정가맹점 1~5%적립 && 에이치디현대오일뱅크 60원/L적립,해외겸용 8000원,전월실적없음,VISA mastercard JCB,8000,8000
신한카드,신한카드 Eats More(이츠모아),신한카드 이용하고 최대 10만원 캐시백 받아가자!,"전가맹점 결제금액 1천원미만기본적립 && 추가적립업종 건당 최대 1,600P추가적립 && 환전수수료 면제서비스",국내전용 15000원  해외겸용 18000원,전월실적40만원 이상,VISA,15000,18000
신한카드,아시아나 신한카드 Air 1.5,,"1,000원당 1.5마일기본적립 && 1,000원당 3마일추가적립 && 국내 공항라운지무료이용",국내전용 43000원  해외겸용 45000원,전월실적50만원 이상,mastercard,43000,45000
신한카드,신한카드 RPM+ Platinum#,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백!,모든주유소 40~150P/L적립 && 모든충전소 10~50P/L적립 && 모든가맹점 0.2~2%적립,해외겸용 32000원,전월실적50만원 이상,VISA UnionPay,32000,32000
신한카드,신한카드 B.Big(삑),신한카드 이용하고 최대 10만원 캐시백 받아가자!,대중교통 200~600원할인 && 택시 10%할인 && KTX  10%할인,해외겸용 10000원,전월실적30만원 이상,VISA UnionPay,10000,10000
신한카드,알뜰교통카드,카드고릴라 프로모션! 신규회원 연회비 100% 캐시백!,대중교통/택시 10%할인 && 마트/편의점 10%할인 && 전기차 충전 최대 50%할인,해외겸용 12000원,전월실적30만원 이상,mastercard UnionPay,12000,12000
신한카드,신한카드 래플(Raffle),신한카드 이용하고 최대 10만원 받아가자!,월 마다 최대 7만P추첨적립 && 분기 마다 최대 30만P추첨적립,국내전용 17000원  해외겸용 20000원,전월실적50만원 이상,AMEX,17000,20000
신한카드,신한카드 플리(산리오캐릭터즈),신한카드 이용하고 최대 10만원 캐시백 받아가자!,국내 이용금액 최대 0.9%결제일 할인 && 해외 이용금액 0.5%결제일 할인 && 매주 1회 할인 쿠폰제공,국내전용 15000원  해외겸용 18000원,전월실적없음,mastercard,15000,18000
신한카드,신한카드 구독 좋아요,,디지털구독 100%할인 && 정기결제 자동이체 1천원할인 && 생활 서비스 10%할인,국내전용 15000원  해외겸용 18000원,전월실적40만원 이상,VISA,15000,18000
우리카드,DA@카드의정석,,모든가맹점 0.8%할인 && 생활업종 1.3%할인 && 국내공항라운지 연 2회무료(전월실적 30만원),국내전용 5000원  해외겸용 10000원,전월실적없음,BC mastercard,5000,10000
우리카드,NU Uniq,,국내 가맹점 최대 0.8%청구할인 && 배달앱 1.5%청구할인 && 커피·스트리밍 5%청구할인,국내전용 20000원  해외겸용20000원,전월실적40만원 이상,BC mastercard,20000,20000
우리카드,카드의정석 POINT,,"모든가맹점 0.8%적립 && 교통,통신,전기차충전 5%적립 && 간편결제 3%추가적립",국내전용 10000원  해외겸용 12000원,전월실적30만원 이상,VISA BC mastercard,10000,12000
우리카드,카드의정석 NEW우리V카드,,"대형마트 5%할인 && 아웃백 25%할인 && CGV 6,000원할인",국내전용 2000원  해외겸용 5000원,전월실적30만원 이상,VISA BC BC Global mastercard UnionPay,2000,5000
우리카드,카드의정석 SHOPPING,,온·오프라인쇼핑 10%할인 && 간편결제 5%추가할인 && 주말주유 60원/L할인,국내전용 10000원  해외겸용 12000원,전월실적30만원 이상,VISA mastercard UnionPay,10000,12000
우리카드,알뜰교통카드,,대중교통 10%할인 && 자동결제업종 10%할인 && 페이코포인트 1%적립,국내전용 13000원  해외겸용 15000원,전월실적30만원 이상,BC mastercard,13000,15000
우리카드,카드의정석 PREMIUM MILEAGE(SKYPASS),,"1,000원당 1~2마일적립 && 국내외 공항라운지 무료이용서비스 && 연1회 프리미엄기프트제공",국내전용 135000원  해외겸용 135000원,전월실적50만원 이상,BC mastercard,135000,135000
우리카드,D4@카드의정석,,"대중교통 33%할인 && 커피 55%할인 && 영화관 5,500원할인",국내전용 9000원  해외겸용 10000원,전월실적30만원 이상,BC mastercard,9000,10000
우리카드,카드의정석 DISCOUNT,,"국내가맹점 0.7~1%할인 && S-OIL,현대오일뱅크 60~100원/L할인 && 대중교통 10%할인",국내전용 10000원  해외겸용 12000원,전월실적30만원 이상,VISA mastercard UnionPay,10000,12000
우리카드,카드의정석 WOWRI,,모아포인트 5%~0.8%적립 && 주요간편결제 3%추가적립,국내전용 10000원  해외겸용 12000원,전월실적30만원 이상,VISA BC mastercard,10000,12000
우리카드,카드의정석 UniMile,,저가항공 3%적립 && 온라인여행사 2%적립 && 국내외 공항라운지 무료이용서비스,국내전용 20000원  해외겸용 20000원,전월실적30만원 이상,BC UnionPay,20000,20000
우리카드,NU I&U,,국내가맹점 1.0%~0.7%청구할인 && 주유 리터당 60~100원청구할인 && 대중교통 10%청구할인,국내전용 12000원  해외겸용 12000원,전월실적30만원 이상,BC mastercard,12000,12000
우리카드,카드의정석 EVERY 1,,국내외 가맹점 1%청구할인 && 전월실적 따라 최대 2만원추가할인,국내전용 12000원  해외겸용 12000원,전월실적없음,mastercard,12000,12000
우리카드,카드의정석 EVERY MILE SKYPASS,,SKYPASS 최대 2마일리지적립 && 해외이용수수료 0.3%면제 && 국내 공항라운지 동반 1인까지 무료이용,해외겸용 39000원,전월실적없음,mastercard,39000,39000
우리카드,Diners Club MILEAGE,,"국내 가맹점 1마일적립 && 해외, 면세점 2마일적립 && 전세계 공항라운지 연 20회무료이용",해외겸용 330000원,전월실적없음,Diners Club,330000,330000
우리카드,트래블월렛 우리카드,,트래블 포인트 최대 2.0%적립 && 해외 이용 수수료 면제서비스,국내전용 20000원  해외겸용 20000원,전월실적없음,VISA,20000,20000
우리카드,카드의정석 EVERY 1 (망그러진곰 Edition),,국내외 가맹점 1%청구할인 && 전월실적 따라 최대 2만원추가할인,국내전용 12000원  해외겸용 12000원,전월실적없음,mastercard,12000,12000
우리카드,SKT 우리카드,,SKT통신기기/서비스 T라이트할부제공 && SKT통신요금 1만~2만원청구할인 && 커피전문점 20%청구할인,해외겸용 10000원  해외겸용 15000원,전월실적30만원 이상,mastercard UnionPay,10000,15000
